t,px_hat,py_hat,vx_hat,vy_hat,bax_hat,bay_hat
2.020000000000000284e+01,2.004079132158929610e+02,3.116263644541840350e+00,1.025994734149784371e+01,3.439223899803620088e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.030000000000000071e+01,2.012154805668738788e+02,3.064840345755365458e+00,1.018855485274920447e+01,1.646054940500553745e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.040000000000000213e+01,2.023317182131637821e+02,3.052465888780107495e+00,1.022037987125430902e+01,1.187857005150336036e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.050000000000000000e+01,2.033444638100476141e+02,3.041999178536516801e+00,1.021734283457303860e+01,8.069501844235115601e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.060000000000000142e+01,2.042470517175248688e+02,2.983469763148730358e+00,1.017839215350549154e+01,-1.132841800099421842e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.070000000000000284e+01,2.050887927120914753e+02,3.240693306780200622e+00,1.012079930596109634e+01,7.316692699477139739e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.080000000000000071e+01,2.060677452677226995e+02,3.313557836513048471e+00,1.010995909123467129e+01,9.461603453943159825e-02,0.000000000000000000e+00,0.000000000000000000e+00
2.090000000000000213e+01,2.069762643733581342e+02,3.426820563446219658e+00,1.007640368529220964e+01,1.286050810072549011e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.100000000000000000e+01,2.077770519829523721e+02,3.552967144810373235e+00,1.000862007897635308e+01,1.657278084520985573e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.110000000000000142e+01,2.088346896736242115e+02,3.833575150316206326e+00,1.002724029717789023e+01,2.523211043112847940e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.120000000000000284e+01,2.097239963104533160e+02,3.832225710397964669e+00,9.990010843944821417e+00,2.435956649373998695e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.130000000000000071e+01,2.108429409984723293e+02,3.984400731264651885e+00,1.002941915475361334e+01,2.855903274278147053e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.140000000000000213e+01,2.118558305055743176e+02,3.978802636743612453e+00,1.003269064584889492e+01,2.743569815207509976e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.150000000000000000e+01,2.126441658270321966e+02,3.851788580683432883e+00,9.961935568363525562e+00,2.235129206120487488e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.160000000000000142e+01,2.137858063278946190e+02,3.983986529054564851e+00,1.000986324228163937e+01,2.597095884751678962e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.170000000000000284e+01,2.148294259800981081e+02,4.236248456046185495e+00,1.002392563363313194e+01,3.343505396857304190e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.180000000000000071e+01,2.161430781066538600e+02,4.200970519961791716e+00,1.012669335539795057e+01,3.116637590099315958e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.190000000000000213e+01,2.169018066561451690e+02,3.941513782348217365e+00,1.004276989822144728e+01,2.156173664588491024e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000000e+01,2.178864979844644267e+02,4.069675471816537105e+00,1.003629107404320031e+01,2.508800177430608458e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.210000000000000142e+01,2.190173969536699303e+02,3.773434780667566102e+00,1.007842951888248351e+01,1.444896185519441156e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.220000000000000284e+01,2.200768571076368403e+02,3.971416692331311005e+00,1.009553473111943056e+01,2.053098477105212982e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.230000000000000071e+01,2.211186041236144604e+02,3.854530929227812486e+00,1.010621220357876382e+01,1.597335174817355319e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.240000000000000213e+01,2.224784903309456183e+02,3.846345825209934066e+00,1.022214434233707436e+01,1.517145589530619343e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.250000000000000000e+01,2.235007047651793357e+02,3.861517281105240063e+00,1.022214434233707436e+01,1.517145589530619343e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.260000000000000142e+01,2.245227469493945875e+02,3.892700220951599288e+00,1.022208720434674056e+01,1.570258153660873679e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.270000000000000284e+01,2.256144245755631061e+02,3.815071421320338718e+00,1.024510406220087333e+01,1.261026978795316278e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.280000000000000071e+01,2.268676595227759663e+02,3.952230849614331465e+00,1.032081422651174307e+01,1.673297442399443724e-01,0.000000000000000000e+00,0.000000000000000000e+00
